country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","02-07-2026 14:00:00",22.368195,82.746431,PM2.5,0,18,5
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","02-07-2026 14:00:00",22.348441,82.549611,SO2,4,17,10
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","02-07-2026 14:00:00",27.103358,93.679645,SO2,11,17,12
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","02-07-2026 14:00:00",27.103358,93.679645,CO,6,8,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","02-07-2026 14:00:00",26.071318,91.87488,OZONE,18,26,22
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","02-07-2026 14:00:00",26.181742,91.78063,PM2.5,29,63,47
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","02-07-2026 14:00:00",26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","02-07-2026 14:00:00",26.181742,91.78063,CO,13,15,14
India,Assam,Guwahati,"IITG, Guwahati - PCBA","02-07-2026 14:00:00",26.2028636,91.70046436,SO2,38,43,41
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","02-07-2026 14:00:00",26.10887,91.589544,PM10,13,59,34
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","02-07-2026 14:00:00",26.10887,91.589544,NO2,11,53,16
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","02-07-2026 14:00:00",26.1875,91.744194,NO2,0,0,0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","02-07-2026 14:00:00",26.1875,91.744194,CO,18,23,20
India,Assam,Silchar,"Tarapur, Silchar - PCBA","02-07-2026 14:00:00",24.82827,92.79525,NO2,14,17,17
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","02-07-2026 14:00:00",16.5150833,80.5181667,CO,14,50,37
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","02-07-2026 14:00:00",14.675886,77.593027,PM2.5,54,316,100
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","02-07-2026 14:00:00",16.711754,81.092095,PM2.5,44,66,54
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","02-07-2026 14:00:00",16.711754,81.092095,OZONE,2,13,7
